Loan_ID,Customer,Date,Gender,Married,Dependents,Age,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Application_Number,Amount_Requested,Loan_Status
LP001693,C207,7/26/2022,Female,No,0,44,Graduate,No,3244,0,80,360,1,Urban,LP001693,80,Y
LP001698,C208,7/27/2022,Male,No,0,44,Not Graduate,No,3975,2531,55,360,1,Rural,LP001698,55,Y
LP001699,C209,7/28/2022,Male,No,0,44,Graduate,No,2479,0,59,360,1,Urban,LP001699,59,Y
LP001702,C210,7/29/2022,Male,No,0,44,Graduate,No,3418,0,127,360,1,Semiurban,LP001702,127,N
LP001708,C211,7/30/2022,Female,No,0,44,Graduate,No,10000,0,214,360,1,Semiurban,LP001708,214,N
LP001711,C212,7/31/2022,Male,Yes,3,44,Graduate,No,3430,1250,128,360,0,Semiurban,LP001711,128,N
LP001713,C213,8/1/2022,Male,Yes,1,44,Graduate,Yes,7787,0,240,360,1,Urban,LP001713,240,Y
LP001715,C214,8/2/2022,Male,Yes,3,44,Not Graduate,Yes,5703,0,130,360,1,Rural,LP001715,130,Y
LP001716,C215,8/3/2022,Male,Yes,0,44,Graduate,No,3173,3021,137,360,1,Urban,LP001716,137,Y
LP001720,C216,8/4/2022,Male,Yes,3,44,Not Graduate,No,3850,983,100,360,1,Semiurban,LP001720,100,Y
LP001722,C217,8/5/2022,Male,Yes,0,44,Graduate,No,150,1800,135,360,1,Rural,LP001722,135,N
LP001726,C218,8/6/2022,Male,Yes,0,44,Graduate,No,3727,1775,131,360,1,Semiurban,LP001726,131,Y
LP001736,C221,8/9/2022,Male,Yes,0,44,Graduate,No,2221,0,60,360,0,Urban,LP001736,60,N
LP001743,C222,8/10/2022,Male,Yes,2,44,Graduate,No,4009,1717,116,360,1,Semiurban,LP001743,116,Y
LP001744,C223,8/11/2022,Male,No,0,44,Graduate,No,2971,2791,144,360,1,Semiurban,LP001744,144,Y
LP001750,C225,8/13/2022,Male,Yes,0,19,Graduate,No,6250,0,128,360,1,Semiurban,LP001750,128,Y
LP001751,C226,8/14/2022,Male,Yes,0,19,Graduate,No,3250,0,170,360,1,Rural,LP001751,170,N
LP001758,C228,8/16/2022,Male,Yes,2,19,Graduate,No,6250,1695,210,360,1,Semiurban,LP001758,210,Y
LP001761,C230,8/18/2022,Male,No,0,19,Graduate,Yes,6400,0,200,360,1,Rural,LP001761,200,Y
LP001765,C231,8/19/2022,Male,Yes,1,19,Graduate,No,2491,2054,104,360,1,Semiurban,LP001765,104,Y
LP001776,C234,8/22/2022,Female,No,0,19,Graduate,No,8333,0,280,360,1,Semiurban,LP001776,280,Y
LP001778,C235,8/23/2022,Male,Yes,1,19,Graduate,No,3155,1779,140,360,1,Semiurban,LP001778,140,Y
LP001784,C236,8/24/2022,Male,Yes,1,19,Graduate,No,5500,1260,170,360,1,Rural,LP001784,170,Y
LP001790,C239,8/27/2022,Female,No,1,19,Graduate,No,3812,0,112,360,1,Rural,LP001790,112,Y
LP001792,C240,8/28/2022,Male,Yes,1,19,Graduate,No,3315,0,96,360,1,Semiurban,LP001792,96,Y
LP001798,C241,8/29/2022,Male,Yes,2,19,Graduate,No,5819,5000,120,360,1,Rural,LP001798,120,Y
LP001800,C242,8/30/2022,Male,Yes,1,19,Not Graduate,No,2510,1983,140,180,1,Urban,LP001800,140,N
LP001806,C243,8/31/2022,Male,No,0,19,Graduate,No,2965,5701,155,60,1,Urban,LP001806,155,Y
LP001807,C244,9/1/2022,Male,Yes,2,19,Graduate,Yes,6250,1300,108,360,1,Rural,LP001807,108,Y
LP001811,C245,9/2/2022,Male,Yes,0,19,Not Graduate,No,3406,4417,123,360,1,Semiurban,LP001811,123,Y
LP001813,C246,9/3/2022,Male,No,0,19,Graduate,Yes,6050,4333,120,180,1,Urban,LP001813,120,N
LP001814,C247,9/4/2022,Male,Yes,2,19,Graduate,No,9703,0,112,360,1,Urban,LP001814,112,Y
LP001819,C248,9/5/2022,Male,Yes,1,19,Not Graduate,No,6608,0,137,180,1,Urban,LP001819,137,Y
LP001824,C249,9/6/2022,Male,Yes,1,19,Graduate,No,2882,1843,123,480,1,Semiurban,LP001824,123,Y
LP001825,C250,9/7/2022,Male,Yes,0,19,Graduate,No,1809,1868,90,360,1,Urban,LP001825,90,Y
LP001835,C251,9/8/2022,Male,Yes,0,19,Not Graduate,No,1668,3890,201,360,0,Semiurban,LP001835,201,N
LP001836,C252,9/9/2022,Female,No,2,19,Graduate,No,3427,0,138,360,1,Urban,LP001836,138,N
LP001841,C253,9/10/2022,Male,No,0,19,Not Graduate,Yes,2583,2167,104,360,1,Rural,LP001841,104,Y
LP001843,C254,9/11/2022,Male,Yes,1,19,Not Graduate,No,2661,7101,279,180,1,Semiurban,LP001843,279,Y
LP001844,C255,9/12/2022,Male,No,0,19,Graduate,Yes,16250,0,192,360,0,Urban,LP001844,192,N
LP001846,C256,9/13/2022,Female,No,3,19,Graduate,No,3083,0,255,360,1,Rural,LP001846,255,Y
LP001849,C257,9/14/2022,Male,No,0,19,Not Graduate,No,6045,0,115,360,0,Rural,LP001849,115,N
LP001854,C258,9/15/2022,Male,Yes,3,19,Graduate,No,5250,0,94,360,1,Urban,LP001854,94,N
LP001859,C259,9/16/2022,Male,Yes,0,19,Graduate,No,14683,2100,304,360,1,Rural,LP001859,304,N
LP001868,C262,9/19/2022,Male,No,0,19,Graduate,No,2060,2209,134,360,1,Semiurban,LP001868,134,Y
LP001870,C263,9/20/2022,Female,No,1,19,Graduate,No,3481,0,155,36,1,Semiurban,LP001870,155,N
LP001871,C264,9/21/2022,Female,No,0,19,Graduate,No,7200,0,120,360,1,Rural,LP001871,120,Y
LP001872,C265,9/22/2022,Male,No,0,19,Graduate,Yes,5166,0,128,360,1,Semiurban,LP001872,128,Y
LP001875,C266,9/23/2022,Male,No,0,19,Graduate,No,4095,3447,151,360,1,Rural,LP001875,151,Y
LP001877,C267,9/24/2022,Male,Yes,2,19,Graduate,No,4708,1387,150,360,1,Semiurban,LP001877,150,Y
LP001882,C268,9/25/2022,Male,Yes,3,19,Graduate,No,4333,1811,160,360,0,Urban,LP001882,160,Y
LP001884,C270,9/27/2022,Female,No,1,19,Graduate,No,2876,1560,90,360,1,Urban,LP001884,90,Y
LP001888,C271,9/28/2022,Female,No,0,19,Graduate,No,3237,0,30,360,1,Urban,LP001888,30,Y
LP001891,C272,9/29/2022,Male,Yes,0,19,Graduate,No,11146,0,136,360,1,Urban,LP001891,136,Y
LP001892,C273,9/30/2022,Male,No,0,19,Graduate,No,2833,1857,126,360,1,Rural,LP001892,126,Y
LP001894,C274,10/1/2022,Male,Yes,0,19,Graduate,No,2620,2223,150,360,1,Semiurban,LP001894,150,Y
LP001896,C275,10/2/2022,Male,Yes,2,55,Graduate,No,3900,0,90,360,1,Semiurban,LP001896,90,Y
LP001900,C276,10/3/2022,Male,Yes,1,55,Graduate,No,2750,1842,115,360,1,Semiurban,LP001900,115,Y
LP001903,C277,10/4/2022,Male,Yes,0,55,Graduate,No,3993,3274,207,360,1,Semiurban,LP001903,207,Y
LP001904,C278,10/5/2022,Male,Yes,0,55,Graduate,No,3103,1300,80,360,1,Urban,LP001904,80,Y
LP001907,C279,10/6/2022,Male,Yes,0,55,Graduate,No,14583,0,436,360,1,Semiurban,LP001907,436,Y
LP001910,C281,10/8/2022,Male,No,1,55,Not Graduate,Yes,4053,2426,158,360,0,Urban,LP001910,158,N
LP001914,C282,10/9/2022,Male,Yes,0,55,Graduate,No,3927,800,112,360,1,Semiurban,LP001914,112,Y
LP001915,C283,10/10/2022,Male,Yes,2,55,Graduate,No,2301,985.7999878,78,180,1,Urban,LP001915,78,Y
LP001917,C284,10/11/2022,Female,No,0,55,Graduate,No,1811,1666,54,360,1,Urban,LP001917,54,Y
LP001924,C286,10/13/2022,Male,No,0,55,Graduate,No,3158,3053,89,360,1,Rural,LP001924,89,Y
LP001925,C287,10/14/2022,Female,No,0,55,Graduate,Yes,2600,1717,99,300,1,Semiurban,LP001925,99,N
LP001926,C288,10/15/2022,Male,Yes,0,55,Graduate,No,3704,2000,120,360,1,Rural,LP001926,120,Y
LP001931,C289,10/16/2022,Female,No,0,55,Graduate,No,4124,0,115,360,1,Semiurban,LP001931,115,Y
LP001935,C290,10/17/2022,Male,No,0,55,Graduate,No,9508,0,187,360,1,Rural,LP001935,187,Y
LP001936,C291,10/18/2022,Male,Yes,0,55,Graduate,No,3075,2416,139,360,1,Rural,LP001936,139,Y
LP001938,C292,10/19/2022,Male,Yes,2,55,Graduate,No,4400,0,127,360,0,Semiurban,LP001938,127,N
LP001940,C293,10/20/2022,Male,Yes,2,55,Graduate,No,3153,1560,134,360,1,Urban,LP001940,134,Y
LP001947,C295,10/22/2022,Male,Yes,0,55,Graduate,No,2383,3334,172,360,1,Semiurban,LP001947,172,Y
LP001953,C297,10/24/2022,Male,Yes,1,55,Graduate,No,6875,0,200,360,1,Semiurban,LP001953,200,Y
LP001954,C298,10/25/2022,Female,Yes,1,55,Graduate,No,4666,0,135,360,1,Urban,LP001954,135,Y
LP001955,C299,10/26/2022,Female,No,0,55,Graduate,No,5000,2541,151,480,1,Rural,LP001955,151,N
LP001963,C300,10/27/2022,Male,Yes,1,55,Graduate,No,2014,2925,113,360,1,Urban,LP001963,113,N
LP001964,C301,10/28/2022,Male,Yes,0,55,Not Graduate,No,1800,2934,93,360,0,Urban,LP001964,93,N
LP001974,C303,10/30/2022,Female,No,0,55,Graduate,No,5000,0,132,360,1,Rural,LP001974,132,Y
LP001977,C304,10/31/2022,Male,Yes,1,55,Graduate,No,1625,1803,96,360,1,Urban,LP001977,96,Y
LP001978,C305,11/1/2022,Male,No,0,55,Graduate,No,4000,2500,140,360,1,Rural,LP001978,140,Y
LP001993,C307,11/3/2022,Female,No,0,55,Graduate,No,3762,1666,135,360,1,Rural,LP001993,135,Y
LP001994,C308,11/4/2022,Female,No,0,55,Graduate,No,2400,1863,104,360,0,Urban,LP001994,104,N
LP001996,C309,11/5/2022,Male,No,0,55,Graduate,No,20233,0,480,360,1,Rural,LP001996,480,N
LP002002,C311,11/7/2022,Female,No,0,55,Graduate,No,2917,0,84,360,1,Semiurban,LP002002,84,Y
LP002004,C312,11/8/2022,Male,No,0,55,Not Graduate,No,2927,2405,111,360,1,Semiurban,LP002004,111,Y
LP002006,C313,11/9/2022,Female,No,0,55,Graduate,No,2507,0,56,360,1,Rural,LP002006,56,Y
LP002031,C316,11/12/2022,Male,Yes,1,55,Not Graduate,No,3399,1640,111,180,1,Urban,LP002031,111,Y
LP002035,C317,11/13/2022,Male,Yes,2,55,Graduate,No,3717,0,120,360,1,Semiurban,LP002035,120,Y
LP002050,C320,11/16/2022,Male,Yes,1,55,Graduate,Yes,10000,0,155,360,1,Rural,LP002050,155,N
LP002051,C321,11/17/2022,Male,Yes,0,55,Graduate,No,2400,2167,115,360,1,Semiurban,LP002051,115,Y
LP002053,C322,11/18/2022,Male,Yes,3,55,Graduate,No,4342,189,124,360,1,Semiurban,LP002053,124,Y
LP002065,C325,11/21/2022,Male,Yes,3,55,Graduate,No,15000,0,300,360,1,Rural,LP002065,300,Y
LP002067,C326,11/22/2022,Male,Yes,1,55,Graduate,Yes,8666,4983,376,360,0,Rural,LP002067,376,N
LP002068,C327,11/23/2022,Male,No,0,55,Graduate,No,4917,0,130,360,0,Rural,LP002068,130,Y
LP002082,C328,11/24/2022,Male,Yes,0,55,Graduate,Yes,5818,2160,184,360,1,Semiurban,LP002082,184,Y
LP002086,C329,11/25/2022,Female,Yes,0,55,Graduate,No,4333,2451,110,360,1,Urban,LP002086,110,N
LP002087,C330,11/26/2022,Female,No,0,55,Graduate,No,2500,0,67,360,1,Urban,LP002087,67,Y
LP002097,C331,11/27/2022,Male,No,1,55,Graduate,No,4384,1793,117,360,1,Urban,LP002097,117,Y
LP002098,C332,11/28/2022,Male,No,0,55,Graduate,No,2935,0,98,360,1,Semiurban,LP002098,98,Y
LP002112,C338,12/4/2022,Male,Yes,2,55,Graduate,Yes,2500,4600,176,360,1,Rural,LP002112,176,Y
LP002114,C340,12/6/2022,Female,No,0,55,Graduate,No,4160,0,71,360,1,Semiurban,LP002114,71,Y
LP002115,C341,12/7/2022,Male,Yes,3,55,Not Graduate,No,2647,1587,173,360,1,Rural,LP002115,173,N
LP002116,C342,12/8/2022,Female,No,0,55,Graduate,No,2378,0,46,360,1,Rural,LP002116,46,N
LP002119,C343,12/9/2022,Male,Yes,1,55,Not Graduate,No,4554,1229,158,360,1,Urban,LP002119,158,Y
LP002126,C344,12/10/2022,Male,Yes,3,55,Not Graduate,No,3173,0,74,360,1,Semiurban,LP002126,74,Y
LP002129,C346,12/12/2022,Male,Yes,0,55,Graduate,No,2499,2458,160,360,1,Semiurban,LP002129,160,Y
LP002131,C348,12/14/2022,Male,Yes,2,55,Not Graduate,No,3083,2168,126,360,1,Urban,LP002131,126,Y
LP002138,C350,12/16/2022,Male,Yes,0,55,Graduate,No,2625,6250,187,360,1,Rural,LP002138,187,Y
LP002139,C351,12/17/2022,Male,Yes,0,55,Graduate,No,9083,0,228,360,1,Semiurban,LP002139,228,Y
LP002140,C352,12/18/2022,Male,No,0,55,Graduate,No,8750,4167,308,360,1,Rural,LP002140,308,N
LP002141,C353,12/19/2022,Male,Yes,3,55,Graduate,No,2666,2083,95,360,1,Rural,LP002141,95,Y
LP002142,C354,12/20/2022,Female,Yes,0,55,Graduate,Yes,5500,0,105,360,0,Rural,LP002142,105,N
LP002143,C355,12/21/2022,Female,Yes,0,55,Graduate,No,2423,505,130,360,1,Semiurban,LP002143,130,Y
LP002149,C357,12/23/2022,Male,Yes,2,55,Graduate,No,8333,3167,165,360,1,Rural,LP002149,165,Y
LP002151,C358,12/24/2022,Male,Yes,1,55,Graduate,No,3875,0,67,360,1,Urban,LP002151,67,N
LP002158,C359,12/25/2022,Male,Yes,0,55,Not Graduate,No,3000,1666,100,480,0,Urban,LP002158,100,N
LP002160,C360,12/26/2022,Male,Yes,3,55,Graduate,No,5167,3167,200,360,1,Semiurban,LP002160,200,Y
LP002161,C361,12/27/2022,Female,No,1,55,Graduate,No,4723,0,81,360,1,Semiurban,LP002161,81,N
LP002170,C362,12/28/2022,Male,Yes,2,55,Graduate,No,5000,3667,236,360,1,Semiurban,LP002170,236,Y
LP002175,C363,12/29/2022,Male,Yes,0,55,Graduate,No,4750,2333,130,360,1,Urban,LP002175,130,Y
LP002180,C365,12/31/2022,Male,No,0,55,Graduate,Yes,6822,0,141,360,1,Rural,LP002180,141,Y
LP002181,C366,1/1/2023,Male,No,0,55,Not Graduate,No,6216,0,133,360,1,Rural,LP002181,133,N
LP002187,C367,1/2/2023,Male,No,0,55,Graduate,No,2500,0,96,480,1,Semiurban,LP002187,96,N
LP002190,C369,1/4/2023,Male,Yes,1,55,Graduate,No,6325,0,175,360,1,Semiurban,LP002190,175,Y
LP002191,C370,1/5/2023,Male,Yes,0,55,Graduate,No,19730,5266,570,360,1,Rural,LP002191,570,N
LP002194,C371,1/6/2023,Female,No,0,55,Graduate,Yes,15759,0,55,360,1,Semiurban,LP002194,55,Y
LP002197,C372,1/7/2023,Male,Yes,2,55,Graduate,No,5185,0,155,360,1,Semiurban,LP002197,155,Y
LP002201,C373,1/8/2023,Male,Yes,2,55,Graduate,Yes,9323,7873,380,300,1,Rural,LP002201,380,Y
LP002205,C374,1/9/2023,Male,No,1,55,Graduate,No,3062,1987,111,180,0,Urban,LP002205,111,N
LP002211,C376,1/11/2023,Male,Yes,0,55,Graduate,No,4817,923,120,180,1,Urban,LP002211,120,Y
LP002219,C377,1/12/2023,Male,Yes,3,55,Graduate,No,8750,4996,130,360,1,Rural,LP002219,130,Y
LP002224,C379,1/14/2023,Male,No,0,55,Graduate,No,3069,0,71,480,1,Urban,LP002224,71,N
LP002225,C380,1/15/2023,Male,Yes,2,55,Graduate,No,5391,0,130,360,1,Urban,LP002225,130,Y
LP002229,C382,1/17/2023,Male,No,0,55,Graduate,No,5941,4232,296,360,1,Semiurban,LP002229,296,Y
LP002231,C383,1/18/2023,Female,No,0,55,Graduate,No,6000,0,156,360,1,Urban,LP002231,156,Y
LP002234,C384,1/19/2023,Male,No,0,28,Graduate,Yes,7167,0,128,360,1,Urban,LP002234,128,Y
LP002236,C385,1/20/2023,Male,Yes,2,28,Graduate,No,4566,0,100,360,1,Urban,LP002236,100,N
LP002239,C387,1/22/2023,Male,No,0,28,Not Graduate,No,2346,1600,132,360,1,Semiurban,LP002239,132,Y
LP002244,C389,1/24/2023,Male,Yes,0,28,Graduate,No,2333,2417,136,360,1,Urban,LP002244,136,Y
LP002250,C390,1/25/2023,Male,Yes,0,28,Graduate,No,5488,0,125,360,1,Rural,LP002250,125,Y
LP002255,C391,1/26/2023,Male,No,3,28,Graduate,No,9167,0,185,360,1,Rural,LP002255,185,Y
LP002262,C392,1/27/2023,Male,Yes,32,28,Graduate,No,9504,0,275,360,1,Rural,LP002262,275,Y
LP002265,C394,1/29/2023,Male,Yes,2,28,Not Graduate,No,1993,1625,113,180,1,Semiurban,LP002265,113,Y
LP002266,C395,1/30/2023,Male,Yes,2,28,Graduate,No,3100,1400,113,360,1,Urban,LP002266,113,Y
LP002277,C397,2/1/2023,Female,No,0,28,Graduate,No,3180,0,71,360,0,Urban,LP002277,71,N
LP002281,C398,2/2/2023,Male,Yes,0,28,Graduate,No,3033,1459,95,360,1,Urban,LP002281,95,Y
LP002284,C399,2/3/2023,Male,No,0,28,Not Graduate,No,3902,1666,109,360,1,Rural,LP002284,109,Y
LP002287,C400,2/4/2023,Female,No,0,28,Graduate,No,1500,1800,103,360,0,Semiurban,LP002287,103,N
LP002288,C401,2/5/2023,Male,Yes,2,28,Not Graduate,No,2889,0,45,180,0,Urban,LP002288,45,N
LP002296,C402,2/6/2023,Male,No,0,28,Not Graduate,No,2755,0,65,300,1,Rural,LP002296,65,N
LP002297,C403,2/7/2023,Male,No,0,28,Graduate,No,2500,20000,103,360,1,Semiurban,LP002297,103,Y
LP002300,C404,2/8/2023,Female,No,0,28,Not Graduate,No,1963,0,53,360,1,Semiurban,LP002300,53,Y
LP002301,C405,2/9/2023,Female,No,0,28,Graduate,Yes,7441,0,194,360,1,Rural,LP002301,194,N
LP002305,C406,2/10/2023,Female,No,0,28,Graduate,No,4547,0,115,360,1,Semiurban,LP002305,115,Y
LP002308,C407,2/11/2023,Male,Yes,0,28,Not Graduate,No,2167,2400,115,360,1,Urban,LP002308,115,Y
